account,date,daily_pnl,avg_trade_size,total_fee,num_trades,prev_day_pnl,rolling_3day_pnl,volatility,sentiment_Extreme Greed,sentiment_Fear,sentiment_Greed,sentiment_Neutral,target
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,82910.81,29.018782,1,1129.8489260000001,-1778.4450746666669,7332.368770135285,False,True,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,1462.824423076923,1.35322108,52,-6820.76955,-1896.9735413333335,5870.288502896883,False,False,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,1999.099181818182,53.50649472,110,0.0,-1446.6223903333337,3621.1605897587788,False,True,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,1756.5103076923076,20.67737314,65,2480.902379,-229.4843629999999,3736.972864245766,False,False,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,1499.4978378378378,1.26292469,37,-3169.3554679999997,-229.4843629999999,3586.255115801946,False,True,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,1225.1170212765958,20.153151,47,0.0,-356.7785933333333,2247.6451410997943,False,True,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,2676.518153846154,22.11483517,65,2099.019688,918.5201433333333,2246.2209119621134,False,True,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,3326.2756603773582,41.25995296,53,656.540742,563.2542823333333,1973.5646114432195,False,False,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,2184.328113207547,20.961068,53,-1065.797583,394.16547666666673,1260.244297115303,False,True,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,4259.311481481482,20.268314959999998,27,1591.753271,-596.4738343333333,1849.379558901812,False,False,False,True,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,1460.115,1.54451693,42,-2315.377191,-241.20797333333334,1516.9819117616387,False,True,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,580.479381443299,19.707219000000002,97,0.0,-2444.6145460000002,2497.304162090825,False,True,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,730.8744516129032,20.92763202,155,-5018.466447,-1434.1074993333332,2671.16501588609,False,True,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,54768.6,0.456405,1,716.143949,-1434.1074993333332,2361.1464025552823,False,True,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,16.37,0.00035346,1,0.0,238.714649666667,2344.9878389873743,False,True,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,780.4484090909092,24.037758,88,0.0,-31.995247999999695,2336.5603897650653,False,True,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,730.92608,31.977951,125,-95.985744,-76.4660379999997,350.8881508513666,False,True,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,766.7829027576198,129.33009467,689,-133.41237,240.8454430000003,455.1866534579472,False,True,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,552.0850851581508,51.02067149,411,951.934443,396.67502433333357,456.02120992865736,False,True,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,963.6022222222223,119.87578636,603,371.503,-189.71734233333305,1063.6686775866342,False,True,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,887.6931958762888,30.137128,97,-1892.58947,637.867612666667,1933.137137002362,False,True,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2654.14315,2593.2515492957746,197.963062,568,3434.689308,1398.7476626666669,2084.1233562245147,False,False,True,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1867.252909,1679.7829852941175,188.105048,680,2654.14315,2652.028455666667,2107.502499965066,False,False,True,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1969.39321,3782.839757575757,197.03662328000001,330,1867.252909,2163.5964230000004,2054.455095994282,False,False,True,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,284.5678402366864,16.916102,338,1969.39321,-270.7416453333332,3250.0074708651014,False,False,True,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,1435.3307462686569,0.267131,67,-4648.8710550000005,-893.1592816666665,2972.502668083697,False,False,True,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5179.772745,1221.0467469879518,30.404024,83,0.0,176.9672300000002,3605.2772447082534,False,False,True,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,815.50576,31.0304917,250,5179.772745,2141.2087713333335,3572.9539439022565,False,False,False,True,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,13264.043303999999,21898.95651917404,2463.061921,339,16706.884912,10059.915225333332,7997.340786083477,False,True,False,False,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5942.547242,8678.024504792333,720.081313,313,13264.043303999999,11971.158486,7220.879238331246,False,True,False,False,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8277.307357,3079.8473348783314,615.664567,863,5942.547242,9161.299301,6416.019732951526,False,True,False,False,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,1965.9329745042492,118.03440499999999,353,8277.307357,5619.289062,5640.355212385648,False,True,False,False,1
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-19037.340561,8110.89095959596,1377.855618,594,2638.012587,-2707.3402056666673,12495.683629943214,False,False,False,True,0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-108176.9187,20030.785479744136,2487.052566,469,-19037.340561,-41525.415558,49345.07628911546,False,False,True,False,0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,8157.112326,15603.565285714287,273.237342,70,-108176.9187,-39685.715645,49668.26586227374,False,False,True,False,1
